Model,Dropout,Hidden Layers,Neurons per Layer,Activation,Learning Rate,Batch Size,Regularizer,Optimizer,Loss Function,R2,RMSE,Train Loss,Val Loss,RMSE Step 1,RMSE Step 2,RMSE Step 3,RMSE Step 4,RMSE Step 5,RMSE Step 6
288,0.1,4,128,elu,0.01,2048,<keras.src.regularizers.L1L2 object at 0x742f8f4ffc10>,SGD,mean_squared_error,0.8924630284309387,0.3307081901726532,0.24238522350788116,0.5310572981834412,0.2992973959016366,0.30151403959905054,0.32787358761346447,0.33938118450962185,0.342226516035749,0.36868941527632343
289,0.2,2,64,relu,0.001,2048,<keras.src.regularizers.L2 object at 0x742f8f4ffbe0>,Adam,mean_squared_error,0.9619839787483215,0.19662966049355537,0.05927475541830063,0.05759691819548607,0.12381519580786972,0.1467560285308907,0.17612545507432342,0.20704404451293382,0.23448104875651923,0.2573846079275663
290,0.2,2,64,relu,0.001,2048,<keras.src.regularizers.L2 object at 0x742f8f4ffbe0>,SGD,mean_squared_error,0.9649357795715332,0.18884148131842712,0.05708855390548706,0.05312742665410042,0.1065210449238649,0.136864967231012,0.16905014939210505,0.19973325051441854,0.227278052441519,0.25252387829142914
291,0.2,2,64,relu,0.001,2048,<keras.src.regularizers.L1L2 object at 0x742f8f4ffc10>,Adam,mean_squared_error,0.9582694172859192,0.20601213386421635,0.09072314202785492,0.16474926471710205,0.12569884423024846,0.15102129496629127,0.18724313474182272,0.21884364366706816,0.24680069189292822,0.26866981404657114
292,0.2,2,64,relu,0.001,2048,<keras.src.regularizers.L1L2 object at 0x742f8f4ffc10>,SGD,mean_squared_error,0.9609899520874023,0.1991838910889378,0.09522643685340881,0.09559325873851776,0.1252103986102053,0.14750923276509223,0.1783570931621554,0.20957462253467204,0.2364112034389478,0.2626655493298809
293,0.2,2,64,relu,0.01,2048,<keras.src.regularizers.L2 object at 0x742f8f4ffbe0>,Adam,mean_squared_error,0.9539454579353333,0.21642239334818822,0.08102615922689438,0.14176562428474426,0.14891554746723,0.16741540350558118,0.207867349950616,0.22781831231613295,0.24898576588330434,0.2715317098237954
294,0.2,2,64,relu,0.01,2048,<keras.src.regularizers.L2 object at 0x742f8f4ffbe0>,SGD,mean_squared_error,0.9632219672203064,0.19340161141611353,0.051167894154787064,0.05786234885454178,0.10369899177234931,0.13979194477278073,0.1744546783732033,0.20536882195757253,0.23356647382172493,0.25879510563745073
295,0.2,2,64,relu,0.01,2048,<keras.src.regularizers.L1L2 object at 0x742f8f4ffc10>,Adam,mean_squared_error,0.8926014304161072,0.33049536748877073,0.26657766103744507,0.3068127930164337,0.3016891848358802,0.2867019920370161,0.3252854658647766,0.32912831172653645,0.35512668212415827,0.37669943326611466
296,0.2,2,64,relu,0.01,2048,<keras.src.regularizers.L1L2 object at 0x742f8f4ffc10>,SGD,mean_squared_error,0.949061930179596,0.22760777397847046,0.1377103477716446,0.12514743208885193,0.16643299293345723,0.18284151237683746,0.21434649536967623,0.23666255948860174,0.2605998288600307,0.28255974608121315
297,0.2,2,64,tanh,0.001,2048,<keras.src.regularizers.L2 object at 0x742f8f4ffbe0>,Adam,mean_squared_error,0.9636743664741516,0.19220829323965907,0.056261658668518066,0.05386988818645477,0.11742486025932569,0.1437720806006526,0.17366268095775686,0.20239421711717986,0.2287763811904195,0.25248848655946343
